Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANOIL,2009-10-08,2,01-O,2010,SAUDI ARABIA,38,38,1843,0,0,1881,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,QATAR,0,0,20,0,0,20,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,UNITED ARAB EMIRATES,0,0,20,20,20,20,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,INDIA,0,0,3300,3300,3300,3300,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,MALAYSIA,0,0,4000,0,0,4000,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,SINGAPORE,19,19,0,19,19,19,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,INDONESIA,13,13,251,0,0,264,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,"CHINA, PEOPLES REPUBLIC OF",0,0,52,0,0,52,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,"KOREA, REPUBLIC OF",1000,1000,0,1000,1000,1000,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,HONG KONG,0,0,38,0,0,38,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,AUSTRALIA,36,36,465,16,16,501,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,MOROCCO,0,0,38000,0,0,38000,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,TUNISIA,0,0,12000,0,0,12000,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,GUAM,19,19,0,19,19,19,0,0,1
SOYBEANOIL,2009-10-08,2,01-O,2010,UNKNOWN,0,0,387750,0,0,387750,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,CANADA,956,1359,7671,578,578,9030,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,MEXICO,3422,5038,48785,387,387,53823,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,GUATEMALA,0,1300,40,0,0,1340,0,0,1
SOYBEANOIL,2009-10-15,3,01-O,2010,HONDURAS,0,0,38,0,0,38,0,0,1
