CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month
2010,4,15079011,21,770,SP,1,817800,17,17016,20013,SOYBEAN OIL,SUR,Suriname,17.016,2010,4
2010,7,15079090,21,249,ND,1,717600,2,1800,2641,SOYBEAN OIL,USA,United States,1.8,2010,7
2010,3,15079011,21,586,SP,7,145300,0,66,148,SOYBEAN OIL,PRY,Paraguay,0.066,2010,3
2010,1,15079011,21,586,MT,7,910600,58,58100,70669,SOYBEAN OIL,PRY,Paraguay,58.1,2010,1
2010,1,15079019,21,756,MS,1,917800,323,323340,297027,SOYBEAN OIL,ZAF,South Africa,323.34,2010,1
2010,12,15079019,21,845,PR,7,1015500,110,110000,122870,SOYBEAN OIL,URY,Uruguay,110.0,2010,12
2010,1,15079019,21,548,PR,1,917800,260,260000,234000,SOYBEAN OIL,NZL,New Zealand,260.0,2010,1
2010,6,15079019,21,199,PR,1,917800,4000,4000000,3360562,SOYBEAN OIL,CUB,Cuba,4000.0,2010,6
2010,6,15079011,21,589,SC,1,927700,75,74520,84270,SOYBEAN OIL,PER,Peru,74.52,2010,6
2010,5,15079011,21,589,MS,2,227603,364,364320,346119,SOYBEAN OIL,PER,Peru,364.32,2010,5
2010,10,15079019,21,756,PR,1,917800,5700,5700000,5187000,SOYBEAN OIL,ZAF,South Africa,5700.0,2010,10
2010,3,15079011,21,770,SC,1,920600,349,347970,424164,SOYBEAN OIL,SUR,Suriname,347.97,2010,3
2010,6,15079019,21,815,SC,1,920600,43,43330,37677,SOYBEAN OIL,TTO,Trinidad and Tobago,43.33,2010,6
2010,1,15079019,21,756,SC,1,917800,1677,1676660,1540213,SOYBEAN OIL,ZAF,South Africa,1676.66,2010,1
2010,1,15079011,21,770,SC,1,927700,75,74565,93807,SOYBEAN OIL,SUR,Suriname,74.565,2010,1
2010,6,15079011,21,770,SC,1,920600,75,74565,87317,SOYBEAN OIL,SUR,Suriname,74.565,2010,6
2010,5,15079090,21,586,PR,7,145300,0,110,355,SOYBEAN OIL,PRY,Paraguay,0.11,2010,5
2010,5,15079019,21,063,SP,4,817700,0,25,236,SOYBEAN OIL,ARG,Argentina,0.025,2010,5
2010,7,15079019,21,351,SC,1,917800,2000,2000110,1739156,SOYBEAN OIL,HKG,Hong Kong,2000.11,2010,7
2010,9,15079011,21,586,SP,7,145300,0,100,163,SOYBEAN OIL,PRY,Paraguay,0.1,2010,9
2010,2,15079011,21,770,SC,1,920600,275,273405,322187,SOYBEAN OIL,SUR,Suriname,273.405,2010,2
2010,2,15079011,21,589,SC,1,920600,546,545409,675788,SOYBEAN OIL,PER,Peru,545.409,2010,2
2010,2,15079011,21,249,SP,1,817800,149,148644,172966,SOYBEAN OIL,USA,United States,148.644,2010,2
2010,9,15079019,21,069,PR,1,917800,1040,1040000,936000,SOYBEAN OIL,AUS,Australia,1040.0,2010,9
2010,9,15079011,21,815,MT,1,817800,25,25039,25560,SOYBEAN OIL,TTO,Trinidad and Tobago,25.039,2010,9
2010,4,15079011,21,043,SP,1,817800,35,35041,39799,SOYBEAN OIL,ATG,Antigua and Barbuda,35.041,2010,4
2010,12,15079019,21,275,MT,1,917800,800,800000,1038848,SOYBEAN OIL,FRA,France,800.0,2010,12
2010,12,15079011,21,399,SP,1,817800,3,1656,3680,SOYBEAN OIL,JPN,Japan,1.656,2010,12
2010,1,15079090,21,845,SP,7,1015500,1,920,2418,SOYBEAN OIL,URY,Uruguay,0.92,2010,1
2010,3,15079011,21,845,PR,9,1010955,0,0,192,SOYBEAN OIL,URY,Uruguay,0.0,2010,3
2010,5,15079011,21,845,PR,9,1010955,0,0,406,SOYBEAN OIL,URY,Uruguay,0.0,2010,5
2010,10,15079019,21,097,AC,7,230151,28,28070,38360,SOYBEAN OIL,BOL,Bolivia,28.07,2010,10
2010,7,15079011,21,845,SP,7,1010252,158,158479,167227,SOYBEAN OIL,URY,Uruguay,158.479,2010,7
2010,3,15079011,21,815,MT,1,817800,25,25039,24340,SOYBEAN OIL,TTO,Trinidad and Tobago,25.039,2010,3
2010,12,15079011,21,845,RS,7,1015500,16,14478,22057,SOYBEAN OIL,URY,Uruguay,14.478,2010,12
2010,12,15079019,21,199,PR,1,917800,13500,13500000,14341459,SOYBEAN OIL,CUB,Cuba,13500.0,2010,12
2010,5,15079011,21,845,GO,9,1010955,0,0,24,SOYBEAN OIL,URY,Uruguay,0.0,2010,5
2010,5,15079011,21,770,SP,1,817800,40,40820,49006,SOYBEAN OIL,SUR,Suriname,40.82,2010,5
2010,5,15079011,21,169,SC,1,920600,174,173880,188749,SOYBEAN OIL,COL,Colombia,173.88,2010,5
2010,7,15079011,21,770,SP,1,817800,47,46782,53863,SOYBEAN OIL,SUR,Suriname,46.782,2010,7
2010,7,15079019,21,063,SP,7,1010900,1,900,1197,SOYBEAN OIL,ARG,Argentina,0.9,2010,7
2010,7,15079019,21,097,RS,7,230151,27,27390,30838,SOYBEAN OIL,BOL,Bolivia,27.39,2010,7
2010,8,15079011,21,337,SC,1,920600,25,24855,30631,SOYBEAN OIL,GUY,Guyana,24.855,2010,8
2010,4,15079011,21,158,SP,7,1010900,9,9395,23956,SOYBEAN OIL,CHL,Chile,9.395,2010,4
2010,9,15079011,21,845,SC,7,1015500,125,125270,144244,SOYBEAN OIL,URY,Uruguay,125.27,2010,9
2010,2,15079011,21,770,SP,1,817800,15,14573,16919,SOYBEAN OIL,SUR,Suriname,14.573,2010,2
2010,9,15079090,21,097,SP,7,145200,40,40,220,SOYBEAN OIL,BOL,Bolivia,0.04,2010,9
