CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,2,23040090,21,017,RS,1,1017700,104,103840,49470,SOYBEAN MEAL,ALB,Albania,103.84,2010,2,2010-02-01
2010,4,23040090,21,195,PR,1,927700,7610,7609935,2967875,SOYBEAN MEAL,HRV,Croatia,7609.935,2010,4,2010-04-01
2010,2,23040090,21,023,PR,1,917800,59977,59977419,22875470,SOYBEAN MEAL,DEU,Germany,59977.419,2010,2,2010-02-01
2010,4,23040090,21,776,MT,1,817800,19365,19365210,5927503,SOYBEAN MEAL,THA,Thailand,19365.21,2010,4,2010-04-01
2010,4,23040090,21,372,MS,1,917800,2000,2000000,661943,SOYBEAN MEAL,IRN,Iran,2000.0,2010,4,2010-04-01
2010,9,23040090,21,386,RS,1,1017700,12470,12470000,4244525,SOYBEAN MEAL,ITA,Italy,12470.0,2010,9,2010-09-01
2010,6,23040090,21,670,MT,1,917800,5106,5105300,1501966,SOYBEAN MEAL,ROU,Romania,5105.3,2010,6,2010-06-01
2010,7,23040090,21,275,BA,1,517600,43243,43242523,13361116,SOYBEAN MEAL,FRA,France,43242.523,2010,7,2010-07-01
2010,7,23040090,21,199,RS,1,1017700,21466,21465948,6782069,SOYBEAN MEAL,CUB,Cuba,21465.948,2010,7,2010-07-01
2010,3,23040090,21,365,PR,1,917800,2801,2801270,1017757,SOYBEAN MEAL,IDN,Indonesia,2801.27,2010,3,2010-03-01
2010,1,23040090,21,573,MT,1,817800,66132,66131521,26954121,SOYBEAN MEAL,NLD,Netherlands,66131.521,2010,1,2010-01-01
2010,12,23040090,21,573,GO,1,727600,95090,95089154,35101649,SOYBEAN MEAL,NLD,Netherlands,95089.154,2010,12,2010-12-01
2010,6,23040090,21,245,GO,1,917800,11579,11578753,3520140,SOYBEAN MEAL,ESP,Spain,11578.753,2010,6,2010-06-01
2010,3,23040090,21,670,GO,1,917800,11498,11497510,3694708,SOYBEAN MEAL,ROU,Romania,11497.51,2010,3,2010-03-01
2010,3,23040090,21,776,MT,1,917800,76783,76783414,27478028,SOYBEAN MEAL,THA,Thailand,76783.414,2010,3,2010-03-01
2010,5,23040090,21,245,GO,1,917800,6411,6411360,1864406,SOYBEAN MEAL,ESP,Spain,6411.36,2010,5,2010-05-01
2010,12,23040010,21,573,MG,1,727600,10227,10227120,7448718,SOYBEAN MEAL,NLD,Netherlands,10227.12,2010,12,2010-12-01
2010,5,23040090,21,573,MT,1,727600,17651,17650685,5714233,SOYBEAN MEAL,NLD,Netherlands,17650.685,2010,5,2010-05-01
2010,6,23040090,21,275,MT,1,227600,19663,19662705,6205156,SOYBEAN MEAL,FRA,France,19662.705,2010,6,2010-06-01
2010,5,23040090,21,190,MS,1,917800,57423,57423051,18165135,SOYBEAN MEAL,KOR,South Korea,57423.051,2010,5,2010-05-01
2010,11,23040090,21,776,MT,1,817800,111003,111002835,41353249,SOYBEAN MEAL,THA,Thailand,111002.835,2010,11,2010-11-01
2010,1,23040090,21,573,GO,1,727600,29666,29665955,11368788,SOYBEAN MEAL,NLD,Netherlands,29665.955,2010,1,2010-01-01
2010,5,23040090,21,573,GO,1,817800,23941,23941480,7179732,SOYBEAN MEAL,NLD,Netherlands,23941.48,2010,5,2010-05-01
2010,10,23040090,21,190,RS,1,1017700,61360,61360098,22124127,SOYBEAN MEAL,KOR,South Korea,61360.098,2010,10,2010-10-01
2010,3,23040090,21,573,PR,1,917800,9789,9788122,3454714,SOYBEAN MEAL,NLD,Netherlands,9788.122,2010,3,2010-03-01
2010,7,23040090,21,275,MT,1,917800,51850,51850225,15873412,SOYBEAN MEAL,FRA,France,51850.225,2010,7,2010-07-01
2010,10,23040090,21,275,GO,1,917800,3437,3437106,1117306,SOYBEAN MEAL,FRA,France,3437.106,2010,10,2010-10-01
2010,1,23040090,21,573,SC,1,927700,20810,20809985,7824751,SOYBEAN MEAL,NLD,Netherlands,20809.985,2010,1,2010-01-01
2010,1,23040090,21,053,MT,1,817800,16498,16497910,6786910,SOYBEAN MEAL,SAU,Saudi Arabia,16497.91,2010,1,2010-01-01
2010,11,23040090,21,386,MT,1,227600,30384,30384400,13117553,SOYBEAN MEAL,ITA,Italy,30384.4,2010,11,2010-11-01
2010,5,23040090,21,573,MG,1,727600,996,996400,322575,SOYBEAN MEAL,NLD,Netherlands,996.4,2010,5,2010-05-01
2010,2,23040090,21,607,RS,1,1017700,12000,12000000,4177170,SOYBEAN MEAL,PRT,Portugal,12000.0,2010,2,2010-02-01
2010,8,23040090,21,245,RS,1,1017700,7490,7490000,2457469,SOYBEAN MEAL,ESP,Spain,7490.0,2010,8,2010-08-01
2010,4,23040090,21,275,GO,1,727600,31974,31973415,9420647,SOYBEAN MEAL,FRA,France,31973.415,2010,4,2010-04-01
2010,2,23040090,21,246,GO,1,917800,2484,2483803,844493,SOYBEAN MEAL,SVN,Slovenia,2483.803,2010,2,2010-02-01
2010,4,23040010,21,538,PR,1,917800,176,175884,142616,SOYBEAN MEAL,NOR,Norway,175.884,2010,4,2010-04-01
2010,4,23040090,21,190,RS,1,1017700,60288,60288084,17220006,SOYBEAN MEAL,KOR,South Korea,60288.084,2010,4,2010-04-01
2010,9,23040090,21,190,MS,1,917800,10327,10324811,3266659,SOYBEAN MEAL,KOR,South Korea,10324.811,2010,9,2010-09-01
2010,9,23040090,21,275,SP,1,927700,8052,8051639,2767778,SOYBEAN MEAL,FRA,France,8051.639,2010,9,2010-09-01
2010,2,23040090,21,245,RS,1,1017700,42000,42000000,14910000,SOYBEAN MEAL,ESP,Spain,42000.0,2010,2,2010-02-01
2010,7,23040090,21,023,BA,1,517600,48107,48107406,15405339,SOYBEAN MEAL,DEU,Germany,48107.406,2010,7,2010-07-01
