CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month,date
2010,4,10019090,10,190,RS,1,1017700,50000,50000000,7250000,WHEAT,KOR,South Korea,50000.0,2010,4,2010-04-01
2010,3,10011090,10,858,RS,1,1017700,4000,4000000,560000,WHEAT,VNM,Vietnam,4000.0,2010,3,2010-03-01
2010,3,10019090,10,586,PR,9,145300,0,25,27,WHEAT,PRY,Paraguay,0.025,2010,3,2010-03-01
2010,1,10019010,10,267,PR,1,917800,3100000,3100000,468100,WHEAT,PHL,Philippines,3100.0,2010,1,2010-01-01
2010,3,10019090,10,505,RS,1,1017700,0,14000000,2436000,WHEAT,MOZ,Mozambique,14000.0,2010,3,2010-03-01
2010,4,10019090,10,267,SP,1,917800,11266550,11266550,1675347,WHEAT,PHL,Philippines,11266.55,2010,4,2010-04-01
2010,5,10019090,10,169,PR,1,917800,27300000,27300000,3276000,WHEAT,COL,Colombia,27300.0,2010,5,2010-05-01
2010,11,10019090,10,586,PR,7,145300,10,90,92,WHEAT,PRY,Paraguay,0.09,2010,11,2010-11-01
2010,3,10019090,10,239,PR,1,917800,300,300000,45600,WHEAT,ECU,Ecuador,300.0,2010,3,2010-03-01
2010,5,10011010,10,097,PR,7,145200,0,2000,2050,WHEAT,BOL,Bolivia,2.0,2010,5,2010-05-01
2010,5,10019090,10,249,SP,1,917800,2555754,2555754,456202,WHEAT,USA,United States,2555.754,2010,5,2010-05-01
2010,2,10019090,10,858,PR,1,917800,30000000,30000000,4650000,WHEAT,VNM,Vietnam,30000.0,2010,2,2010-02-01
2010,4,10019090,10,756,RS,1,1017700,8500,22500000,3609000,WHEAT,ZAF,South Africa,22500.0,2010,4,2010-04-01
2010,11,10019090,10,361,RS,1,1017700,3500,3500000,980000,WHEAT,IND,India,3500.0,2010,11,2010-11-01
2010,1,10019090,10,267,PR,1,917800,72623718,85475162,13416663,WHEAT,PHL,Philippines,85475.162,2010,1,2010-01-01
2010,1,10019090,10,372,PR,1,917800,47185850,47185850,7320177,WHEAT,IRN,Iran,47185.85,2010,1,2010-01-01
