Commodity,WeekEnding,WeekNumber,MonthNumber,MarketYear,Country,Weekly_Exports,Accum_Exports,CMY_Outstanding_Sales,CMY_Gross_Sales,CMY_Net_Sales,CMY_Total_Commitments,NMY_Outstanding_Sales,NMY_Net_Sales,Unit_Desc
SOYBEANS,2009-09-10,2,01-S,2010,SINGAPORE,1952,1952,6548,0,0,8500,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,INDONESIA,5967,9226,130624,10068,10068,139850,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,PHILIPPINES,0,0,3750,300,300,3750,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,"CHINA, PEOPLES REPUBLIC OF",164403,348283,10473262,480667,463381,10821545,9000,0,1
SOYBEANS,2009-09-10,2,01-S,2010,"KOREA, REPUBLIC OF",0,0,62544,1000,1000,62544,215000,215000,1
SOYBEANS,2009-09-10,2,01-S,2010,TAIWAN,725,2588,339210,17225,-29667,341798,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,JAPAN,22862,24103,693141,9825,9722,717244,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,MOROCCO,0,0,0,0,-26500,0,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,EGYPT,9345,9345,147402,18000,8000,156747,0,0,1
SOYBEANS,2009-09-10,2,01-S,2010,UNKNOWN,0,0,3909958,27000,-53900,3909958,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,CANADA,2270,6825,102675,25867,25867,109500,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,MEXICO,2565,32769,594966,25607,25607,627735,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,GUATEMALA,6192,6192,15096,248,248,21288,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,COSTA RICA,0,0,26000,0,0,26000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,PANAMA,0,0,544,0,0,544,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,CUBA,8061,8061,21000,0,-211,29061,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,DOMINICAN REPUBLIC,0,0,18000,0,0,18000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,BARBADOS,0,3548,3500,1000,1000,7048,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,COLOMBIA,5581,5581,73344,5870,5751,78925,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,VENEZUELA,0,0,2448,0,0,2448,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,PERU,0,0,33000,0,0,33000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,FINLAND,0,0,113,0,0,113,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,UNITED KINGDOM,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,IRELAND,0,0,6000,0,0,6000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,NETHERLANDS,0,0,58000,0,0,58000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,BELGIUM-LUXEMBOURG,0,0,60000,60000,60000,60000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,FRANCE,0,0,60000,60000,60000,60000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,SWITZERLAND,0,0,5000,0,0,5000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,SPAIN,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,ITALY,61,143,60000,61,61,60143,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,TURKEY,0,0,38000,0,0,38000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,SYRIA,0,0,34773,0,0,34773,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,IRAN,0,0,63000,0,0,63000,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,THAILAND,106,144,146395,2215,2215,146539,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,VIETNAM,0,1510,7100,1000,1000,8610,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,MALAYSIA,0,22210,16252,2000,2000,38462,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,SINGAPORE,0,1952,6548,0,0,8500,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,INDONESIA,5653,14879,134641,9670,9670,149520,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,PHILIPPINES,0,0,11625,7875,7875,11625,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,"CHINA, PEOPLES REPUBLIC OF",0,348283,11127762,599500,654500,11476045,9000,0,1
SOYBEANS,2009-09-17,3,01-S,2010,"KOREA, REPUBLIC OF",0,0,172544,110000,110000,172544,0,-215000,1
SOYBEANS,2009-09-17,3,01-S,2010,TAIWAN,11521,14109,342222,14533,14533,356331,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,JAPAN,41260,65363,707763,20120,55882,773126,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,EGYPT,0,9345,172402,25000,25000,181747,0,0,1
SOYBEANS,2009-09-17,3,01-S,2010,UNKNOWN,0,0,4000958,182000,91000,4000958,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,CANADA,1528,8353,126599,25452,25452,134952,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,MEXICO,25568,58337,580458,11060,11060,638795,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,GUATEMALA,0,6192,18344,3248,3248,24536,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,COSTA RICA,0,0,26000,0,0,26000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,PANAMA,0,0,1000,456,456,1000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,CUBA,0,8061,21000,0,0,29061,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,DOMINICAN REPUBLIC,0,0,18000,0,0,18000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,BARBADOS,0,3548,4500,1000,1000,8048,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,COLOMBIA,0,5581,75180,1836,1836,80761,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,VENEZUELA,0,0,4648,2200,2200,4648,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,PERU,0,0,33000,0,0,33000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,FINLAND,0,0,113,0,0,113,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,UNITED KINGDOM,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,IRELAND,0,0,6000,0,0,6000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,NETHERLANDS,0,0,58000,0,0,58000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,BELGIUM-LUXEMBOURG,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,FRANCE,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,SWITZERLAND,0,0,5000,0,0,5000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,SPAIN,0,0,60000,0,0,60000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,ITALY,0,143,60000,0,0,60143,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,TURKEY,0,0,38000,0,0,38000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,SYRIA,16568,16568,34773,0,16568,51341,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,IRAN,0,0,63000,0,0,63000,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,THAILAND,743,887,212652,67000,67000,213539,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,VIETNAM,215,1725,8385,1500,1500,10110,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,MALAYSIA,228,22438,16252,228,228,38690,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,SINGAPORE,0,1952,8548,2000,2000,10500,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,INDONESIA,4730,19609,137961,8050,8050,157570,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,PHILIPPINES,0,0,12125,500,500,12125,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,"CHINA, PEOPLES REPUBLIC OF",118250,466533,11818263,872251,808751,12284796,9000,0,1
SOYBEANS,2009-09-24,4,01-S,2010,"KOREA, REPUBLIC OF",0,0,172544,0,0,172544,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,TAIWAN,2603,16712,368155,40789,28536,384867,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,JAPAN,38575,103938,736021,31180,66833,839959,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,EGYPT,0,9345,153000,0,-19402,162345,0,0,1
SOYBEANS,2009-09-24,4,01-S,2010,UNKNOWN,0,0,4359958,416000,359000,4359958,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,CANADA,2332,10685,162739,38472,38472,173424,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,MEXICO,20776,79113,570863,12386,11181,649976,0,0,1
SOYBEANS,2009-10-01,5,02-O,2010,GUATEMALA,0,6192,44618,26528,26274,50810,0,0,1
